,Temperature[C],Humidity[%],eCO2[ppm],Fire Alarm
0,20,57.36,400,0
1,20.015,56.67,400,0
2,20.029,55.96,400,0
3,20.044,55.28,400,0
4,20.059,54.69,400,0
5,20.073,54.12,400,0
6,20.088,53.61,400,0
7,20.103,53.2,400,0
8,20.117,52.81,400,0
9,20.132,52.46,400,0
10,20.146,52.15,400,0
11,20.161,51.84,400,0
12,20.175,51.62,400,0
13,20.19,51.39,400,0
14,20.204,51.17,403,0
15,20.219,50.99,400,0
16,20.233,50.86,400,0
17,20.248,50.66,400,0
18,20.262,50.49,400,0
19,20.277,50.27,406,0
20,20.291,50.15,400,0
21,20.305,50.02,400,0
22,20.32,49.96,400,0
23,20.334,49.83,415,0
24,20.348,49.76,400,0
25,20.363,49.65,401,0
26,20.377,49.58,404,0
27,20.391,49.37,445,0
28,20.406,49.58,455,0
29,20.42,50.11,443,0
30,20.434,50.68,435,0
31,20.448,51.23,440,0
32,20.462,51.77,440,0
33,20.477,52.28,420,0
34,20.491,52.74,414,0
35,20.505,53.12,413,0
36,20.519,53.5,410,0
37,20.533,53.84,413,0
38,20.547,54.13,400,0
39,20.561,54.41,415,0
40,20.575,54.67,406,0
41,20.589,54.91,400,0
42,20.603,55.08,410,0
43,20.617,55.28,400,0
44,20.631,55.49,400,0
45,20.645,55.86,404,0
46,20.659,55.99,406,0
47,20.673,56.11,400,0
48,20.687,56.18,400,0
49,20.701,56.32,408,0
50,20.715,56.36,416,0
51,20.729,56.47,411,0
52,20.743,56.55,404,0
53,20.756,56.6,404,0
54,20.77,56.66,400,0
55,20.784,56.91,400,0
56,20.798,56.64,400,0
57,20.812,56.06,400,0
58,20.825,55.38,400,0
59,20.839,54.75,401,0
60,20.853,54.14,406,0
61,20.867,53.6,415,0
62,20.88,53.11,400,0
63,20.894,52.66,418,0
64,20.908,52.27,411,0
65,20.921,51.94,415,0
66,20.935,51.66,413,0
67,20.948,51.38,421,0
68,20.962,51.16,407,0
69,20.976,50.92,407,0
70,20.989,50.72,401,0
71,21.003,50.55,412,0
72,21.016,50.38,417,0
73,21.03,50.24,413,0
74,21.043,50.1,410,0
75,21.057,49.93,417,0
76,21.07,49.88,400,0
77,21.084,49.74,405,0
78,21.097,49.67,408,0
79,21.11,49.55,404,0
